name,url,format,access_method,pillar_relevance,verified,notes
Richmond Legistar (City Council Records),https://richmond.legistar.com,HTML/JSON,Web browser; API may be available via Granicus/Legistar Web API,Development proposals; council agendas; housing funding actions; zoning cases,Unverified — confirm API availability,Primary source for neighborhood development discovery and plain-language translator
Richmond GeoHub — Land Use Project Mapper,https://www.arcgis.com (confirm RVA-specific URL),ArcGIS REST / GeoJSON,ArcGIS REST API or portal download,Development proposals mapped by location; zoning overlays,Unverified — confirm layer availability,Core data for development proposal map
Richmond GeoHub — Development Activity Mapper,https://www.arcgis.com (confirm RVA-specific URL),ArcGIS REST / GeoJSON,ArcGIS REST API or portal download,Active and recent development activity by address and parcel,Unverified — confirm layer availability,Supplement to Legistar for project status
Richmond GeoHub — Zoning Parcel Mapper,https://www.arcgis.com (confirm RVA-specific URL),ArcGIS REST / GeoJSON,ArcGIS REST API or portal download,Zoning classification by parcel; useful for development context,Unverified — confirm layer availability,Background layer for zoning context in development map
Richmond Open Data Portal (Socrata),https://data.richmondgov.com,CSV / JSON (SODA API),SODA REST API; direct CSV download,Permits; building data; neighborhood context,Unverified — confirm active datasets,May include building permits useful for neighborhood change analysis
HUD CHAS Data (Comprehensive Housing Affordability Strategy),https://www.huduser.gov/portal/datasets/cp.html,Excel / CSV,Download from HUD website; data.hud.gov API,Housing need by income; cost burden; AMI context,Confirmed public — access method straightforward,2-3 year lag; table-level not parcel-level
HUD Fair Market Rents,https://www.huduser.gov/portal/datasets/fmr.html,CSV / Excel,Download from HUD website; FMR API,Baseline rent affordability for Richmond MSA,Confirmed public — access method straightforward,MSA-level only; no neighborhood breakdown
HUD Affordable Housing Preservation Catalog,https://www.huduser.gov/portal/datasets/pis.html,Excel / CSV,Download from HUD website,Federally subsidized units; affordability expiration dates,Confirmed public — access method straightforward,Federal programs only; excludes City-funded programs
Virginia Housing (VHDA) — Housing Data Reports,https://www.vhda.com,PDF / some Excel,Download from VHDA website; no public API confirmed,Affordable housing production statewide and by locality,Unverified — confirm which datasets cover Richmond specifically,Report format; not parcel-level
Richmond City Assessor Parcel Data,https://rva.gov (confirm specific URL),CSV / GIS,City portal or GIS download; access method unconfirmed,Property ownership; assessed values; parcel geometry,Unverified — confirm access terms,Useful for ownership analysis; terms of use may restrict republication
Richmond Planning Commission Staff Reports,https://richmond.legistar.com,PDF,Legistar attachment download,Narrative descriptions of development proposals; site plan summaries,Unverified — confirm consistent attachment availability,PDFs require parsing; content quality varies by proposal
NLIHC National Housing Preservation Database,https://preservationdatabase.org,CSV / API,Open download or API,National map of subsidized housing including Richmond properties,Confirmed public,Aggregates multiple federal databases; may have coverage gaps
